note,id
250404205,344128491892736
250302853,344147566587904
250105315,344162818154496
000020126,344184172470272
000020130,344207084158976
250105319,344232157081600
250302854,344253109911552
250302855,344257963499520
250404243,344259447144448
250204675,344266315325440
250105329,344275271905280
250701948,344281907912704
250204677,344283477823488
250105334,344309570854912
250105335,344309781073920
000020153,344420085055488
000020155,344420098347008
000020159,344441492447232
000020161,344443735523328
000020163,344449603760128
000020164,344451801690112
000020166,344451815387136
000020167,344454024654848
000020168,344454757572608
000020170,344457725206528
000020171,344461490221056
000020173,344465158066176
000020174,344465887965184
000020177,344473332228096
000020180,344485077118976
250105336,344488026337280
000020184,344490228744192
250204680,344491966263296
250801252,344492213907456
250105337,344494056632320
000020185,344496135729152
000020186,344499071197184
250105308,344499132649472
250105309,344499523600384
000020189,344501328658432
000020191,344502834114560
000020193,344503538089984
000020195,344509422800896
000020196,344510880100352
000020198,344513839411200
000020203,344518364639232
250701952,344520007286784
250105310,344522404859904
000020209,344529346805760
250204682,344536737509376
000020215,344539646087168
000020216,344541149016064
000020224,344551466336256
000020227,344552984932352
000020229,344554440892416
000020231,344558862274560
000020232,344562649509888
000020237,344567697895424
000020239,344571449307136
000020240,344572904849408
000020242,344575826272256
000020243,344578778992640
250503211,344583266168832
250701953,344585778900992
000020247,344589864583168
250404267,344600654544896
250503212,344602388795392
250404266,344605352792064
250404265,344605652467712
250404264,344605865947136
250801253,344608447148032
250503213,344609315844096
000016975,344615861854208
000019222,344616076271616
250404270,344618040762368
250105346,344619688828928
250503215,344628335747072
250105349,344631075704832
250302871,344633412247552
250404274,344639740157952
250404277,344653673930752
250105355,344656163590144
000020295,344837506129920
250503219,344839787077632
250302876,344844874301440
250503221,344861279756288
250302880,344869475459072
250105357,344880703156224
250105356,344883643408384
000020303,344886896812032
250701958,344936325320704
250302884,344966141210624
250105359,344966171107328
250105361,344968640098304
250105362,344975859392512
250701963,344979952238592
250901613,344986164219904
250302887,344995292319744
250204704,344995483557888
000020330,344999707762688
250105370,345000289349632
250404290,345002769453056
250503224,345003155058688
250503225,345004278390784
000020351,345176643538944
000020352,345177354539008
000020356,345181886734336
000020362,345190650724352
000020370,345224640532480
000020381,345237880754176
000020382,345245982048256
000020386,345259281129472
000020390,345274027343872
000020392,345274037862400
000020397,345279917514752
250302892,345308885204992
250204711,345310859804672
250105375,345332247289856
250105376,345337543270400
250701970,345339700961280
250801259,345354941124608
250204721,345357510557696
000020429,345508420120576
000020423,345529819258880
000020430,345539432132608
250701972,345545613680640
000020432,345546108977152
250801260,345547980365824
250404299,345551853551616
000020434,345553471098880
250701973,345554497593344
250404302,345556852846592
000020436,345558621052928
000020443,345574176071680
250204728,345611492229120
250204729,345614304702464
000020454,345618337370112
250204735,345643722358784
250503235,345649039122432
000020362-1,345653777731584
000020362-2,345655922778112
250105391,345660890697728
250105392,345661045821440
250105393,345662879309824
250503239,345668461404160
250801263,345670759063552
250801266,345673494208512
250503241,345677582462976
250503242,345677873344512
250503243,345679970205696
250801267,345680990027776
250204743,345693666258944
250302908,345706588594176
250302200,345706873946112
250801269,345708924690432
250503249,345711391232000
000020478,345722259615744
000020483,345724558729216
000020490,345739964313600
000020491,345739976974336
000020492,345740702916608
000020494,345740719239168
000020502,345767980298240
000020507,345770955849728
000020508,345770972291072
000020509,345770984435712
000020510,345771682152448
000020511,345771694338048
000020512,345771705397248
000020513,345773903392768
000020518,345857950015488
000020521,345889040609280
250404326,345902876454912
250404227,345903250341888
000020525,345905909686272
250503251,345916739833856
250404329,345921129877504
000020529,345924379189248
250204746,345925865988096
250404331,345927495598080
250404332,345941809414144
000020538,345970845249536
000020542,345973777272832
250204751,346003143307264
250701995,346014281994240
250801272,346014474416128
250901631,346023549693952
250204754,346023683633152
250503264,346034096349184
250503266,346042765107200
250701998,346048912084992
250701984,346049153953792
250404339,346057402912768
250105413,346073489387520
000020566,346084339810304
000020500,346142483501056
250702001,346254919626752
250404341,346255810424832
250503271,346255874437120
250204760,346264991432704
250204761,346273586868224
000020587,346278260629504
250105418,346291304218624
000020591,346291631456256
250204767,346308875034624
000020594,346313650655232
250204772,346330644983808
250204773,346341199704064
000020600,346348320194560
250105420,346359640485888
250302919,346367455916032
250105421,346378118918144
250404350,346386821771264
250302922,346392652124160
250302923,346405087977472
251000828,346407158624256
250702003,346407277834240
250105426,346410496897024
000020611,346414714368000
000020624,346540789256192
000020625,346541517799424
000020626,346545207697408
000020632,346624873148416
250302926,346624980799488
250901634,346625220046848
250105432,346628070653952
250105434,346630379331584
0000003032,346652631547904
000020632-1,346692817088512
250901636,346699625598976
250204785,346712628273152
250404370,346716336967680
250702011,346730120192000
250702008,346730539573248
250801278,346735823945728
250404376,346761815052288
250503296,346776163233792
250503297,346777106018304
250503298,346777489932288
000020655,346795118530560
250701993,346971338280960
250105445,346973288656896
000020675,346977253310464
250702015,346983644532736
250204793,346995314601984
250204796,347022875099136
250901643,347055474106368
000020686,347059960713216
250204799,347061771120640
250105451,347069824692224
250105453,347080000483328
250204800,347081412157440
250404383,347082100281344
250105455,347084558422016
250302932,347088637566976
000020698,347091516661760
250503304,347096660508672
250105461,347104415301632
000020707,347105543663616
250302934,347106193141760
000020708,347107025563648
000020709,347107052204032
000020710,347107796439040
250901645,347119713042432
250503308,347131623268352
250404388,347134585110528
250105467,347307630235648
250404391,347332115812352
250503310,347332216303616
000020735,347337063923712
250503312,347340018618368
250302939,347345313808384
250702027,347345392242688
250702028,347345562066944
250702029,347345685639168
250105473,347347691642880
255-011-316-145,347357051904000
250105476,347357572108288
250105478,347366412234752
250702033,347385679593472
250302940,347415847997440
250105485,347448507113472
250503317,347456332152832
250302944,347459698810880
248-984-537-707,347461643735040
250404397,347462332710912
250302946,347472720961536
250901650,347473055064064
250302947,347475303325696
250204819,347480265682944
000020764,347486124359680
250105494,347489819320320
251000834,347495031635968
000020775,347528829820928
000020776,347529648017408
000020779,347529672990720
000020780,347530422390784
000020799,347676207173632
000020810,347709457362944
000017089,347716866732032
000020777,347728572452864
250204820,347743847473152
250901651,347767640875008
250302950,347784846995456
250105500,347793786068992
250302951,347795197771776
250105501,347801176023040
250105502,347802694656000
250302953,347803964076032
250105504,347805941354496
250702034,347808422043648
250105505,347809415782400
250105506,347818780770304
250404405,347821202571264
